"             Sales, Purchase & Closing Stock 01-08-2022-01-08-2022",,,
SNo.,ITEM DESCRIPTION,PURCHASE,C.STOCK REMARK
1,360BLOK SUNSCREEN GEL SPF50   50G,2,2
2,A TO Z GOLD CAP               1*15CAP,0,8
3,ABVIDA 50 TAB                 1*15TAB,4,7
4,ACECLO SERA TAB               1*10TAB,0,0
5,ACEMIZ PLUS TAB               1*10TAB,0,21
6,ACILOC 150MG TAB              1*30TAB,0,29
7,ACNESILK F/WASH               150ML,2,2
8,ADVOG M 0.3MG TAB             1*10TAB,5,5
9,AERODIL SYRUP                 100ML,0,0
10,AGLOZYME C SYP                200ML,2,2
11,AIRZ F CAP                    1*30CAP,0,1
12,ALDACTONE 50MG TAB            1*15TAB,0,4
13,ALFOO 10MG TAB                1*30TAB,0,2
14,ALOGRACE CREAM                50GM,0,0
15,ALPRAX 0.25MG TAB             1*15TAB,0,5
16,AMARYL M 2 MG TAB             1X20TAB,5,8
17,AMIGAL 100MG TAB              1*10TAB,10,14
18,AMIGAL 300 TAB                1*10TAB,10,11
19,AMLOPRES AT 25MG TAB          1*15TAB,0,0
20,AMLOPRES AT TAB               1*15TAB,5,4
21,AMLOSAFE 2.5MG TAB            1*15TAB,0,12
22,AMLOSAFE 5MG TAB              1*15TAB,0,22
23,AMLOSAFE AT TAB               1*15TAB,0,21
24,AMTAS-5MG TAB                 1*30TAB,10,11
25,ANGIFIX 6.4MG TAB             1*10TAB,0,12
26,ANGISTAT 2.5MG CAP            25CAP,0,0
27,ANTHOCYN TX TAB               1*10TAB,0,0
28,ANTIBLUE 10MG TAB             1*20TAB,0,9
29,ANXIT 0.25MG TAB              1*15TAB,0,3
30,APLAZAR TAB                   1*10TAB,0,17
31,APTIVATE SYRUP                450ML,0,1
32,ARACHITOL 6L INJ              1ML,0,7
33,ARACHITOL KIDS SYP            1*15ML,2,3
34,ARISTOZYME SYRUP              200ML,0,6
35,ARVAST F 5MG TAB              1*10TAB,0,4
36,ASOMEX TM TAB                 1*15TAB,5,5
37,ASPRITO-2                     1X10,0,1
38,ASTHALIN DX SYP.              1*1,0,8
39,ATARAX 25MG TAB               1*15TAB,0,7
40,AUGMENTIN DUO 625MG TAB       1*10TAB,0,8
41,AUTRIN CAP                    1*30CAP,3,4
42,AZITHRAL 100MG LIQUID         15ML,0,1
43,AZITHRAL 500MG TAB            1*5TAB,36,42
44,AZKERA TAB                    1*10TAB,3,5
45,AZTOR 10MG TAB                1*15TAB,0,5
